clave,descripcion,unidad,cantidad,valor_unitario,importe,status
01010101,Concepto #62,H87,5,180.18,900.9,Libre
01010101,Concepto #63,H87,5,475.26,2376.3,Libre
01010101,Concepto #64,H87,9,308.99,2780.91,Libre
01010101,Concepto #65,H87,6,227.07,1362.42,Libre
01010101,Concepto #66,H87,8,185.59,1484.72,Libre
01010101,Concepto #67,H87,7,492.45,3447.15,Libre
01010101,Concepto #68,H87,4,259.84,1039.36,Libre
01010101,Concepto #69,H87,2,441.37,882.74,Libre
01010101,Concepto #70,H87,2,418.11,836.22,Libre
01010101,Concepto #71,H87,9,266.26,2396.34,Libre
01010101,Concepto #72,H87,7,110.9,776.3,Libre
01010101,Concepto #73,H87,1,123.36,123.36,Libre
01010101,Concepto #74,H87,10,449.24,4492.4,Libre
01010101,Concepto #75,H87,6,135.95,815.7,Libre
01010101,Concepto #76,H87,9,57.98,521.82,Libre
01010101,Concepto #77,H87,1,65.0,65.0,Libre
01010101,Concepto #78,H87,5,387.78,1938.9,Libre
01010101,Concepto #79,H87,8,202.93,1623.44,Libre
01010101,Concepto #80,H87,9,372.42,3351.78,Libre
01010101,Concepto #81,H87,4,306.0,1224.0,Libre
01010101,Concepto #82,H87,6,480.18,2881.08,Libre
01010101,Concepto #83,H87,7,364.61,2552.27,Libre
01010101,Concepto #84,H87,9,76.93,692.37,Libre
01010101,Concepto #85,H87,7,138.08,966.56,Libre
01010101,Concepto #86,H87,10,456.94,4569.4,Libre
01010101,Concepto #87,H87,4,264.29,1057.16,Libre
01010101,Concepto #88,H87,5,191.84,959.2,Libre
01010101,Concepto #89,H87,9,76.35,687.15,Libre
01010101,Concepto #90,H87,5,293.21,1466.05,Libre
01010101,Concepto #91,H87,7,262.58,1838.06,Libre
01010101,Concepto #92,H87,4,463.74,1854.96,Libre
01010101,Concepto #93,H87,1,363.28,363.28,Libre
01010101,Concepto #94,H87,1,165.15,165.15,Libre
01010101,Concepto #95,H87,8,386.09,3088.72,Libre
01010101,Concepto #96,H87,9,257.89,2321.01,Libre
01010101,Concepto #97,H87,6,106.7,640.2,Libre
01010101,Concepto #98,H87,9,269.46,2425.14,Libre
01010101,Concepto #99,H87,9,376.47,3388.23,Libre
01010101,Concepto #100,H87,2,458.83,917.66,Libre
01010101,Concepto #101,H87,1,174.51,174.51,Libre
01010101,Concepto #102,H87,1,185.19,185.19,Libre
01010101,Concepto #103,H87,7,489.03,3423.21,Libre
01010101,Concepto #104,H87,6,448.39,2690.34,Libre
01010101,Concepto #105,H87,5,476.7,2383.5,Libre
01010101,Concepto #106,H87,4,111.77,447.08,Libre
01010101,Concepto #107,H87,1,305.83,305.83,Libre
01010101,Concepto #108,H87,8,249.14,1993.12,Libre
01010101,Concepto #109,H87,8,311.59,2492.72,Libre
01010101,Concepto #110,H87,8,215.35,1722.8,Libre
01010101,Concepto #111,H87,9,86.68,780.12,Libre
01010101,Concepto #112,H87,8,452.2,3617.6,Libre
01010101,Concepto #113,H87,8,483.51,3868.08,Libre
01010101,Concepto #114,H87,1,363.4,363.4,Libre
01010101,Concepto #115,H87,1,401.2,401.2,Libre
01010101,Concepto #116,H87,3,91.95,275.85,Libre
01010101,Concepto #117,H87,1,459.81,459.81,Libre
01010101,Concepto #118,H87,10,315.74,3157.4,Libre
01010101,Concepto #119,H87,1,151.02,151.02,Libre
01010101,Concepto #120,H87,4,477.46,1909.84,Libre
01010101,Concepto #121,H87,2,490.5,981.0,Libre
01010101,Concepto #122,H87,3,140.64,421.92,Libre
01010101,Concepto #123,H87,5,189.72,948.6,Libre
01010101,Concepto #124,H87,1,296.65,296.65,Libre
01010101,Concepto #125,H87,4,177.51,710.04,Libre
01010101,Concepto #126,H87,10,97.35,973.5,Libre
01010101,Concepto #127,H87,3,413.28,1239.84,Libre
01010101,Concepto #128,H87,5,281.99,1409.95,Libre
01010101,Concepto #129,H87,6,144.59,867.54,Libre
01010101,Concepto #130,H87,4,181.92,727.68,Libre
01010101,Concepto #131,H87,3,180.99,542.97,Libre
01010101,Concepto #132,H87,10,131.0,1310.0,Libre
01010101,Concepto #133,H87,1,386.36,386.36,Libre
01010101,Concepto #134,H87,2,394.23,788.46,Libre
01010101,Concepto #135,H87,8,456.36,3650.88,Libre
01010101,Concepto #136,H87,7,184.8,1293.6,Libre
01010101,Concepto #137,H87,1,71.21,71.21,Libre
01010101,Concepto #138,H87,5,424.23,2121.15,Libre
01010101,Concepto #139,H87,9,374.28,3368.52,Libre
01010101,Concepto #140,H87,2,440.13,880.26,Libre
01010101,Concepto #141,H87,5,214.09,1070.45,Libre
01010101,Concepto #142,H87,4,443.06,1772.24,Libre
01010101,Concepto #143,H87,2,235.73,471.46,Libre
01010101,Concepto #144,H87,3,318.47,955.41,Libre
01010101,Concepto #145,H87,6,467.68,2806.08,Libre
01010101,Concepto #146,H87,2,273.46,546.92,Libre
01010101,Concepto #147,H87,9,471.41,4242.69,Libre
01010101,Concepto #148,H87,8,483.26,3866.08,Libre
01010101,Concepto #149,H87,10,354.52,3545.2,Libre
01010101,Concepto #150,H87,1,93.02,93.02,Libre
01010101,Concepto #151,H87,9,218.64,1967.76,Libre
01010101,Concepto #152,H87,3,115.9,347.7,Libre
01010101,Concepto #153,H87,9,142.07,1278.63,Libre
01010101,Concepto #154,H87,1,144.32,144.32,Libre
01010101,Concepto #155,H87,9,395.08,3555.72,Libre
01010101,Concepto #156,H87,4,384.49,1537.96,Libre
01010101,Concepto #157,H87,8,341.71,2733.68,Libre
01010101,Concepto #158,H87,4,73.16,292.64,Libre
01010101,Concepto #159,H87,4,216.88,867.52,Libre
01010101,Concepto #160,H87,1,90.25,90.25,Libre
01010101,Concepto #161,H87,4,98.06,392.24,Libre
01010101,Concepto #162,H87,3,232.02,696.06,Libre
01010101,Concepto #163,H87,4,301.34,1205.36,Libre
01010101,Concepto #164,H87,5,337.99,1689.95,Libre
01010101,Concepto #165,H87,2,145.38,290.76,Libre
01010101,Concepto #166,H87,1,133.06,133.06,Libre
01010101,Concepto #167,H87,9,315.67,2841.03,Libre
01010101,Concepto #168,H87,6,355.38,2132.28,Libre
01010101,Concepto #169,H87,4,258.53,1034.12,Libre
01010101,Concepto #170,H87,4,245.64,982.56,Libre
01010101,Concepto #171,H87,8,232.99,1863.92,Libre
01010101,Concepto #172,H87,9,210.97,1898.73,Libre
01010101,Concepto #173,H87,1,379.05,379.05,Libre
01010101,Concepto #174,H87,1,375.38,375.38,Libre
01010101,Concepto #175,H87,5,265.69,1328.45,Libre
01010101,Concepto #176,H87,3,108.29,324.87,Libre
01010101,Concepto #177,H87,9,379.94,3419.46,Libre
01010101,Concepto #178,H87,3,73.02,219.06,Libre
01010101,Concepto #179,H87,5,304.8,1524.0,Libre
01010101,Concepto #180,H87,9,229.56,2066.04,Libre
01010101,Concepto #181,H87,10,294.25,2942.5,Libre
01010101,Concepto #182,H87,7,90.5,633.5,Libre
01010101,Concepto #183,H87,8,137.0,1096.0,Libre
01010101,Concepto #184,H87,6,274.84,1649.04,Libre
01010101,Concepto #185,H87,7,148.36,1038.52,Libre
01010101,Concepto #186,H87,9,483.46,4351.14,Libre
01010101,Concepto #187,H87,8,62.7,501.6,Libre
01010101,Concepto #188,H87,2,204.19,408.38,Libre
01010101,Concepto #189,H87,7,369.28,2584.96,Libre
01010101,Concepto #190,H87,2,238.35,476.7,Libre
01010101,Concepto #191,H87,8,458.72,3669.76,Libre
01010101,Concepto #192,H87,6,300.91,1805.46,Libre
01010101,Concepto #193,H87,3,154.72,464.16,Libre
01010101,Concepto #194,H87,1,401.52,401.52,Libre
01010101,Concepto #195,H87,6,226.66,1359.96,Libre
01010101,Concepto #196,H87,1,109.28,109.28,Libre
01010101,Concepto #197,H87,9,334.84,3013.56,Libre
01010101,Concepto #198,H87,3,220.35,661.05,Libre
01010101,Concepto #199,H87,3,53.92,161.76,Libre
01010101,Concepto #200,H87,10,419.16,4191.6,Libre
01010101,Concepto #201,H87,6,97.86,587.16,Libre
01010101,Concepto #202,H87,2,285.29,570.58,Libre
01010101,Concepto #203,H87,7,318.39,2228.73,Libre
01010101,Concepto #204,H87,4,438.29,1753.16,Libre
01010101,Concepto #205,H87,4,332.12,1328.48,Libre
01010101,Concepto #206,H87,3,285.54,856.62,Libre
01010101,Concepto #207,H87,3,116.95,350.85,Libre
01010101,Concepto #208,H87,8,495.74,3965.92,Libre
01010101,Concepto #209,H87,10,319.13,3191.3,Libre
01010101,Concepto #210,H87,1,484.17,484.17,Libre
01010101,Concepto #211,H87,2,125.93,251.86,Libre
01010101,Concepto #212,H87,7,148.37,1038.59,Libre
01010101,Concepto #213,H87,6,155.86,935.16,Libre
01010101,Concepto #214,H87,2,193.2,386.4,Libre
01010101,Concepto #215,H87,9,68.68,618.12,Libre
01010101,Concepto #216,H87,6,473.64,2841.84,Libre
01010101,Concepto #217,H87,6,384.03,2304.18,Libre
01010101,Concepto #218,H87,2,339.06,678.12,Libre
01010101,Concepto #219,H87,8,135.41,1083.28,Libre
01010101,Concepto #220,H87,4,368.06,1472.24,Libre
01010101,Concepto #221,H87,1,338.37,338.37,Libre
01010101,Concepto #222,H87,5,249.69,1248.45,Libre
01010101,Concepto #223,H87,1,371.12,371.12,Libre
01010101,Concepto #224,H87,4,494.45,1977.8,Libre
01010101,Concepto #225,H87,4,178.03,712.12,Libre
01010101,Concepto #226,H87,7,402.79,2819.53,Libre
01010101,Concepto #227,H87,10,497.07,4970.7,Libre
01010101,Concepto #228,H87,9,255.15,2296.35,Libre
01010101,Concepto #229,H87,7,167.25,1170.75,Libre
01010101,Concepto #230,H87,9,424.72,3822.48,Libre
01010101,Concepto #231,H87,7,497.58,3483.06,Libre
01010101,Concepto #232,H87,6,229.6,1377.6,Libre
01010101,Concepto #233,H87,9,250.63,2255.67,Libre
01010101,Concepto #234,H87,9,75.77,681.93,Libre
01010101,Concepto #235,H87,3,186.34,559.02,Libre
01010101,Concepto #236,H87,7,289.4,2025.8,Libre
01010101,Concepto #237,H87,6,224.86,1349.16,Libre
01010101,Concepto #238,H87,8,354.14,2833.12,Libre
01010101,Concepto #239,H87,7,457.37,3201.59,Libre
01010101,Concepto #240,H87,1,456.63,456.63,Libre
01010101,Concepto #241,H87,4,56.55,226.2,Libre
01010101,Concepto #242,H87,4,385.98,1543.92,Libre
01010101,Concepto #243,H87,10,388.2,3882.0,Libre
01010101,Concepto #244,H87,5,299.07,1495.35,Libre
01010101,Concepto #245,H87,1,491.31,491.31,Libre
01010101,Concepto #246,H87,2,305.52,611.04,Libre
01010101,Concepto #247,H87,10,286.43,2864.3,Libre
01010101,Concepto #248,H87,9,125.69,1131.21,Libre
01010101,Concepto #249,H87,8,313.39,2507.12,Libre
01010101,Concepto #250,H87,1,271.05,271.05,Libre
01010101,Concepto #251,H87,3,245.77,737.31,Libre
01010101,Concepto #252,H87,4,168.2,672.8,Libre
01010101,Concepto #253,H87,1,414.43,414.43,Libre
01010101,Concepto #254,H87,2,203.84,407.68,Libre
01010101,Concepto #255,H87,7,235.35,1647.45,Libre
01010101,Concepto #256,H87,1,180.45,180.45,Libre
01010101,Concepto #257,H87,1,260.66,260.66,Libre
01010101,Concepto #258,H87,1,440.96,440.96,Libre
01010101,Concepto #259,H87,3,224.7,674.1,Libre
01010101,Concepto #260,H87,3,415.79,1247.37,Libre
01010101,Concepto #261,H87,8,182.38,1459.04,Libre
01010101,Concepto #262,H87,1,147.27,147.27,Libre
01010101,Concepto #263,H87,4,143.5,574.0,Libre
01010101,Concepto #264,H87,5,207.05,1035.25,Libre
01010101,Concepto #265,H87,6,228.96,1373.76,Libre
01010101,Concepto #266,H87,5,477.49,2387.45,Libre
01010101,Concepto #267,H87,8,367.4,2939.2,Libre
01010101,Concepto #268,H87,6,242.58,1455.48,Libre
01010101,Concepto #269,H87,5,51.67,258.35,Libre
01010101,Concepto #270,H87,2,180.4,360.8,Libre
01010101,Concepto #271,H87,7,58.5,409.5,Libre
01010101,Concepto #272,H87,6,95.64,573.84,Libre
01010101,Concepto #273,H87,1,173.34,173.34,Libre
01010101,Concepto #274,H87,5,284.64,1423.2,Libre
01010101,Concepto #275,H87,5,437.09,2185.45,Libre
01010101,Concepto #276,H87,10,396.64,3966.4,Libre
01010101,Concepto #277,H87,10,224.85,2248.5,Libre
01010101,Concepto #278,H87,7,151.66,1061.62,Libre
01010101,Concepto #279,H87,1,329.38,329.38,Libre
01010101,Concepto #280,H87,2,117.11,234.22,Libre
01010101,Concepto #281,H87,4,225.07,900.28,Libre
01010101,Concepto #282,H87,9,241.19,2170.71,Libre
01010101,Concepto #283,H87,4,326.92,1307.68,Libre
01010101,Concepto #284,H87,4,385.02,1540.08,Libre
01010101,Concepto #285,H87,9,302.02,2718.18,Libre
01010101,Concepto #286,H87,6,82.71,496.26,Libre
01010101,Concepto #287,H87,6,356.12,2136.72,Libre
01010101,Concepto #288,H87,9,402.49,3622.41,Libre
01010101,Concepto #289,H87,9,195.51,1759.59,Libre
01010101,Concepto #290,H87,8,100.4,803.2,Libre
01010101,Concepto #291,H87,4,336.44,1345.76,Libre
01010101,Concepto #292,H87,4,141.57,566.28,Libre
01010101,Concepto #293,H87,7,152.55,1067.85,Libre
01010101,Concepto #294,H87,4,397.1,1588.4,Libre
01010101,Concepto #295,H87,4,329.33,1317.32,Libre
01010101,Concepto #296,H87,4,226.48,905.92,Libre
01010101,Concepto #297,H87,4,220.05,880.2,Libre
01010101,Concepto #298,H87,10,285.6,2856.0,Libre
01010101,Concepto #299,H87,1,284.25,284.25,Libre
01010101,Concepto #300,H87,6,101.77,610.62,Libre
01010101,Concepto #301,H87,4,460.81,1843.24,Libre
01010101,Concepto #302,H87,9,241.42,2172.78,Libre
01010101,Concepto #303,H87,9,439.82,3958.38,Libre
01010101,Concepto #304,H87,4,281.87,1127.48,Libre
01010101,Concepto #305,H87,5,333.88,1669.4,Libre
01010101,Concepto #306,H87,6,141.32,847.92,Libre
01010101,Concepto #307,H87,9,405.33,3647.97,Libre
01010101,Concepto #308,H87,9,377.36,3396.24,Libre
01010101,Concepto #309,H87,8,88.49,707.92,Libre
01010101,Concepto #310,H87,4,454.28,1817.12,Libre
01010101,Concepto #311,H87,9,165.33,1487.97,Libre
01010101,Concepto #312,H87,5,227.18,1135.9,Libre
01010101,Concepto #313,H87,5,356.79,1783.95,Libre
01010101,Concepto #314,H87,3,369.61,1108.83,Libre
01010101,Concepto #315,H87,8,188.79,1510.32,Libre
01010101,Concepto #316,H87,8,275.01,2200.08,Libre
01010101,Concepto #317,H87,7,88.74,621.18,Libre
01010101,Concepto #318,H87,6,312.45,1874.7,Libre
01010101,Concepto #319,H87,7,320.52,2243.64,Libre
01010101,Concepto #320,H87,1,294.83,294.83,Libre
01010101,Concepto #321,H87,6,384.17,2305.02,Libre
01010101,Concepto #322,H87,8,365.78,2926.24,Libre
01010101,Concepto #323,H87,9,392.43,3531.87,Libre
01010101,Concepto #324,H87,5,488.27,2441.35,Libre
01010101,Concepto #325,H87,7,442.93,3100.51,Libre
01010101,Concepto #326,H87,8,303.75,2430.0,Libre
01010101,Concepto #327,H87,6,248.43,1490.58,Libre
01010101,Concepto #328,H87,6,300.86,1805.16,Libre
01010101,Concepto #329,H87,3,458.18,1374.54,Libre
01010101,Concepto #330,H87,10,357.68,3576.8,Libre
01010101,Concepto #331,H87,9,201.07,1809.63,Libre
01010101,Concepto #332,H87,4,405.81,1623.24,Libre
01010101,Concepto #333,H87,1,482.38,482.38,Libre
01010101,Concepto #334,H87,2,222.61,445.22,Libre
01010101,Concepto #335,H87,3,143.07,429.21,Libre
01010101,Concepto #336,H87,10,60.42,604.2,Libre
01010101,Concepto #337,H87,9,125.01,1125.09,Libre
01010101,Concepto #338,H87,1,63.5,63.5,Libre
01010101,Concepto #339,H87,6,468.45,2810.7,Libre
01010101,Concepto #340,H87,8,350.52,2804.16,Libre
01010101,Concepto #341,H87,1,449.11,449.11,Libre
01010101,Concepto #342,H87,1,293.36,293.36,Libre
01010101,Concepto #343,H87,7,331.0,2317.0,Libre
01010101,Concepto #344,H87,3,167.85,503.55,Libre
01010101,Concepto #345,H87,10,124.95,1249.5,Libre
01010101,Concepto #346,H87,5,224.53,1122.65,Libre
01010101,Concepto #347,H87,9,142.83,1285.47,Libre
01010101,Concepto #348,H87,9,461.08,4149.72,Libre
01010101,Concepto #349,H87,3,80.66,241.98,Libre
01010101,Concepto #350,H87,1,444.83,444.83,Libre
01010101,Concepto #351,H87,7,436.02,3052.14,Libre
01010101,Concepto #352,H87,7,421.1,2947.7,Libre
01010101,Concepto #353,H87,9,469.35,4224.15,Libre
01010101,Concepto #354,H87,2,111.59,223.18,Libre
01010101,Concepto #355,H87,3,345.69,1037.07,Libre
01010101,Concepto #356,H87,7,298.17,2087.19,Libre
01010101,Concepto #357,H87,7,66.67,466.69,Libre
01010101,Concepto #358,H87,3,159.5,478.5,Libre
01010101,Concepto #359,H87,4,430.31,1721.24,Libre
01010101,Concepto #360,H87,9,191.05,1719.45,Libre
01010101,Concepto #361,H87,10,54.63,546.3,Libre
01010101,Concepto #362,H87,6,407.08,2442.48,Libre
01010101,Concepto #363,H87,1,93.4,93.4,Libre
01010101,Concepto #364,H87,6,319.54,1917.24,Libre
01010101,Concepto #365,H87,1,352.68,352.68,Libre
01010101,Concepto #366,H87,7,499.62,3497.34,Libre
01010101,Concepto #367,H87,7,74.59,522.13,Libre
01010101,Concepto #368,H87,5,131.52,657.6,Libre
01010101,Concepto #369,H87,4,66.82,267.28,Libre
01010101,Concepto #370,H87,10,382.93,3829.3,Libre
01010101,Concepto #371,H87,8,468.81,3750.48,Libre
01010101,Concepto #372,H87,1,278.6,278.6,Libre
01010101,Concepto #373,H87,10,388.48,3884.8,Libre
01010101,Concepto #374,H87,10,220.14,2201.4,Libre
01010101,Concepto #375,H87,10,103.75,1037.5,Libre
01010101,Concepto #376,H87,10,114.58,1145.8,Libre
01010101,Concepto #377,H87,3,366.6,1099.8,Libre
01010101,Concepto #378,H87,6,204.1,1224.6,Libre
01010101,Concepto #379,H87,9,446.98,4022.82,Libre
01010101,Concepto #380,H87,5,235.23,1176.15,Libre
01010101,Concepto #381,H87,9,157.42,1416.78,Libre
01010101,Concepto #382,H87,7,208.06,1456.42,Libre
01010101,Concepto #383,H87,7,282.46,1977.22,Libre
01010101,Concepto #384,H87,5,152.01,760.05,Libre
01010101,Concepto #385,H87,2,447.75,895.5,Libre
01010101,Concepto #386,H87,8,85.06,680.48,Libre
01010101,Concepto #387,H87,6,264.0,1584.0,Libre
01010101,Concepto #388,H87,7,324.49,2271.43,Libre
01010101,Concepto #389,H87,4,73.36,293.44,Libre
01010101,Concepto #390,H87,5,348.29,1741.45,Libre
01010101,Concepto #391,H87,10,51.44,514.4,Libre
01010101,Concepto #392,H87,10,212.51,2125.1,Libre
01010101,Concepto #393,H87,5,148.93,744.65,Libre
01010101,Concepto #394,H87,2,223.01,446.02,Libre
01010101,Concepto #395,H87,10,417.3,4173.0,Libre
01010101,Concepto #396,H87,3,165.39,496.17,Libre
01010101,Concepto #397,H87,9,433.48,3901.32,Libre
01010101,Concepto #398,H87,7,173.64,1215.48,Libre
01010101,Concepto #399,H87,5,245.63,1228.15,Libre
01010101,Concepto #400,H87,10,147.54,1475.4,Libre
01010101,Concepto #401,H87,2,419.6,839.2,Libre
01010101,Concepto #402,H87,7,229.81,1608.67,Libre
01010101,Concepto #403,H87,9,221.8,1996.2,Libre
01010101,Concepto #404,H87,5,116.66,583.3,Libre
01010101,Concepto #405,H87,1,493.42,493.42,Libre
01010101,Concepto #406,H87,3,157.24,471.72,Libre
01010101,Concepto #407,H87,2,223.7,447.4,Libre
01010101,Concepto #408,H87,3,377.56,1132.68,Libre
01010101,Concepto #409,H87,2,479.39,958.78,Libre
01010101,Concepto #410,H87,2,134.23,268.46,Libre
01010101,Concepto #411,H87,3,149.37,448.11,Libre
01010101,Concepto #412,H87,10,339.24,3392.4,Libre
01010101,Concepto #413,H87,6,317.34,1904.04,Libre
01010101,Concepto #414,H87,8,144.01,1152.08,Libre
01010101,Concepto #415,H87,3,234.84,704.52,Libre
01010101,Concepto #416,H87,2,244.99,489.98,Libre
01010101,Concepto #417,H87,4,224.61,898.44,Libre
01010101,Concepto #418,H87,1,194.01,194.01,Libre
01010101,Concepto #419,H87,6,104.24,625.44,Libre
01010101,Concepto #420,H87,2,180.77,361.54,Libre
01010101,Concepto #421,H87,6,483.85,2903.1,Libre
01010101,Concepto #422,H87,3,416.25,1248.75,Libre
01010101,Concepto #423,H87,5,77.6,388.0,Libre
01010101,Concepto #424,H87,10,482.01,4820.1,Libre
01010101,Concepto #425,H87,3,143.29,429.87,Libre
01010101,Concepto #426,H87,6,286.09,1716.54,Libre
01010101,Concepto #427,H87,3,260.07,780.21,Libre
01010101,Concepto #428,H87,6,350.43,2102.58,Libre
01010101,Concepto #429,H87,5,88.99,444.95,Libre
01010101,Concepto #430,H87,2,421.1,842.2,Libre
01010101,Concepto #431,H87,4,398.36,1593.44,Libre
01010101,Concepto #432,H87,10,330.03,3300.3,Libre
01010101,Concepto #433,H87,3,236.59,709.77,Libre
01010101,Concepto #434,H87,5,140.34,701.7,Libre
01010101,Concepto #435,H87,7,473.39,3313.73,Libre
01010101,Concepto #436,H87,5,415.99,2079.95,Libre
01010101,Concepto #437,H87,4,127.53,510.12,Libre
01010101,Concepto #438,H87,3,240.84,722.52,Libre
01010101,Concepto #439,H87,4,376.6,1506.4,Libre
01010101,Concepto #440,H87,4,389.17,1556.68,Libre
01010101,Concepto #441,H87,7,472.21,3305.47,Libre
01010101,Concepto #442,H87,5,59.89,299.45,Libre
01010101,Concepto #443,H87,10,248.66,2486.6,Libre
01010101,Concepto #444,H87,7,183.44,1284.08,Libre
01010101,Concepto #445,H87,2,435.03,870.06,Libre
01010101,Concepto #446,H87,3,165.71,497.13,Libre
01010101,Concepto #447,H87,2,85.05,170.1,Libre
01010101,Concepto #448,H87,2,462.82,925.64,Libre
01010101,Concepto #449,H87,10,471.43,4714.3,Libre
01010101,Concepto #450,H87,1,450.46,450.46,Libre
01010101,Concepto #451,H87,10,460.93,4609.3,Libre
01010101,Concepto #452,H87,8,331.28,2650.24,Libre
01010101,Concepto #453,H87,2,127.86,255.72,Libre
01010101,Concepto #454,H87,8,175.73,1405.84,Libre
01010101,Concepto #455,H87,1,155.35,155.35,Libre
01010101,Concepto #456,H87,1,199.4,199.4,Libre
01010101,Concepto #457,H87,4,239.52,958.08,Libre
01010101,Concepto #458,H87,1,367.57,367.57,Libre
01010101,Concepto #459,H87,4,224.2,896.8,Libre
01010101,Concepto #460,H87,5,422.32,2111.6,Libre
01010101,Concepto #461,H87,9,315.67,2841.03,Libre
01010101,Concepto #462,H87,4,139.37,557.48,Libre
01010101,Concepto #463,H87,3,169.93,509.79,Libre
01010101,Concepto #464,H87,8,259.44,2075.52,Libre
01010101,Concepto #465,H87,4,386.8,1547.2,Libre
01010101,Concepto #466,H87,6,408.12,2448.72,Libre
01010101,Concepto #467,H87,5,331.84,1659.2,Libre
01010101,Concepto #468,H87,6,64.63,387.78,Libre
01010101,Concepto #469,H87,2,211.28,422.56,Libre
01010101,Concepto #470,H87,2,412.03,824.06,Libre
01010101,Concepto #471,H87,9,266.33,2396.97,Libre
01010101,Concepto #472,H87,8,457.55,3660.4,Libre
01010101,Concepto #473,H87,1,182.22,182.22,Libre
01010101,Concepto #474,H87,5,372.71,1863.55,Libre
01010101,Concepto #475,H87,9,355.88,3202.92,Libre
01010101,Concepto #476,H87,5,474.53,2372.65,Libre
01010101,Concepto #477,H87,2,273.8,547.6,Libre
01010101,Concepto #478,H87,9,395.24,3557.16,Libre
01010101,Concepto #479,H87,10,387.82,3878.2,Libre
01010101,Concepto #480,H87,1,110.75,110.75,Libre
01010101,Concepto #481,H87,2,355.48,710.96,Libre
01010101,Concepto #482,H87,5,190.53,952.65,Libre
01010101,Concepto #483,H87,4,204.11,816.44,Libre
01010101,Concepto #484,H87,8,67.65,541.2,Libre
01010101,Concepto #485,H87,5,396.94,1984.7,Libre
01010101,Concepto #486,H87,6,199.63,1197.78,Libre
01010101,Concepto #487,H87,4,287.31,1149.24,Libre
01010101,Concepto #488,H87,3,359.6,1078.8,Libre
